,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.0012002944946289062,0.0003998995786744195,0.00020003318786621094,0.0004000663757324219,1,3,linear,,"{'C': 1, 'degree': 3, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,0.9583333333333334,0.9916666666666666,0.016666666666666653,1
2,0.0009998798370361329,2.3360154559928684e-07,0.0003997802734375,0.0004896288395761052,1,4,linear,,"{'C': 1, 'degree': 4, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,0.9583333333333334,0.9916666666666666,0.016666666666666653,1
49,0.00040001869201660155,0.0004899208473093904,0.00019998550415039061,0.0003999710083007812,1000,3,sigmoid,0.001,"{'C': 1000, 'degree': 3, 'gamma': 0.001, 'kernel': 'sigmoid'}",1.0,1.0,1.0,1.0,0.9583333333333334,0.9916666666666666,0.016666666666666653,1
4,0.0005998611450195312,0.0004897847209466181,0.0004001140594482422,0.0004900376480808074,1,5,linear,,"{'C': 1, 'degree': 5, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,0.9583333333333334,0.9916666666666666,0.016666666666666653,1
52,0.00040001869201660155,0.0004899208473093904,0.0,0.0,1000,4,sigmoid,0.001,"{'C': 1000, 'degree': 4, 'gamma': 0.001, 'kernel': 'sigmoid'}",1.0,1.0,1.0,1.0,0.9583333333333334,0.9916666666666666,0.016666666666666653,1
20,0.0005999565124511719,0.0004898629284875862,0.00019979476928710938,0.00039958953857421875,1000,4,linear,,"{'C': 1000, 'degree': 4, 'kernel': 'linear'}",0.9583333333333334,0.9583333333333334,1.0,1.0,0.9166666666666666,0.9666666666666668,0.031180478223116186,6
14,0.0010000228881835937,6.503191803448608e-07,0.0,0.0,100,4,linear,,"{'C': 100, 'degree': 4, 'kernel': 'linear'}",0.9583333333333334,0.9583333333333334,1.0,1.0,0.9166666666666666,0.9666666666666668,0.031180478223116186,6
22,0.0009997367858886718,1.2830375716279708e-06,0.0,0.0,1000,5,linear,,"{'C': 1000, 'degree': 5, 'kernel': 'linear'}",0.9583333333333334,0.9583333333333334,1.0,1.0,0.9166666666666666,0.9666666666666668,0.031180478223116186,6
12,0.000800323486328125,0.00040016225454772336,0.00020022392272949218,0.0004004478454589843,100,3,linear,,"{'C': 100, 'degree': 3, 'kernel': 'linear'}",0.9583333333333334,0.9583333333333334,1.0,1.0,0.9166666666666666,0.9666666666666668,0.031180478223116186,6
10,0.0006001472473144531,0.0004900182064194829,0.0004001140594482422,0.0004900376480808074,10,5,linear,,"{'C': 10, 'degree': 5, 'kernel': 'linear'}",0.9583333333333334,0.9583333333333334,1.0,1.0,0.9166666666666666,0.9666666666666668,0.031180478223116186,6
