,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_n_estimators,param_n_jobs,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
5,0.1204000473022461,0.004757830093764974,0.0009998798370361329,2.78041453115716e-07,10,3,500,-1,,"{'max_depth': 10, 'min_samples_leaf': 3, 'n_estimators': 500, 'n_jobs': -1}",0.8311983355044603,0.9025204398354625,0.8879292402987804,0.8055687361481835,0.8256990715710558,0.8505831646715885,0.03771869134199478,1
7,0.2414008140563965,0.04171554750398842,0.002800655364990234,0.00039992362307001474,10,10,500,-1,,"{'max_depth': 10, 'min_samples_leaf': 10, 'n_estimators': 500, 'n_jobs': -1}",0.8311983355044603,0.9025204398354625,0.8879292402987804,0.8055687361481835,0.8256990715710558,0.8505831646715885,0.03771869134199478,1
23,0.44859991073608396,0.08378691814914292,0.003600883483886719,0.0004903112343441887,10,10,,-1,,"{'max_depth': 10, 'min_samples_leaf': 10, 'n_jobs': -1}",0.8311983355044603,0.9025204341151617,0.8879292436711835,0.8055687264196788,0.8256990687416967,0.8505831616904361,0.0377186931298529,3
20,0.3637997150421143,0.040276085032836334,0.008199596405029297,0.008907639298835994,10,3,,-1,,"{'max_depth': 10, 'min_samples_leaf': 3, 'n_jobs': -1}",0.8311983355044603,0.9025204341151617,0.8879292436711835,0.8055687264196788,0.8256990687416967,0.8505831616904361,0.0377186931298529,3
4,1.211909580230713,0.5536796537857229,0.002200412750244141,0.0009799001907199983,10,3,100,-1,,"{'max_depth': 10, 'min_samples_leaf': 3, 'n_estimators': 100, 'n_jobs': -1}",0.8311983355044603,0.9025204341151617,0.8879292436711835,0.8055687264196788,0.8256990687416967,0.8505831616904361,0.0377186931298529,3
6,0.1269998550415039,0.015504836702511043,0.001199960708618164,0.00040018559567517087,10,10,100,-1,,"{'max_depth': 10, 'min_samples_leaf': 10, 'n_estimators': 100, 'n_jobs': -1}",0.8311983355044603,0.9025204341151617,0.8879292436711835,0.8055687264196788,0.8256990687416967,0.8505831616904361,0.0377186931298529,3
21,0.36279983520507814,0.03885106243618486,0.004399347305297852,0.002871391998704663,10,5,,-1,,"{'max_depth': 10, 'min_samples_leaf': 5, 'n_jobs': -1}",0.8311983355044603,0.9025204341151617,0.8879292436711835,0.8055687264196788,0.8256990687416967,0.8505831616904361,0.0377186931298529,3
22,0.4139994144439697,0.10593458696506908,0.0033992767333984376,0.0012004300650445925,10,7,,-1,,"{'max_depth': 10, 'min_samples_leaf': 7, 'n_jobs': -1}",0.8311983355044603,0.9025204341151617,0.8879292436711835,0.8055687264196788,0.8256990687416967,0.8505831616904361,0.0377186931298529,3
16,0.25299997329711915,0.011081814532823121,0.0031999588012695313,0.00040023387589729296,8,3,,-1,,"{'max_depth': 8, 'min_samples_leaf': 3, 'n_jobs': -1}",0.832200841847885,0.8952639336761888,0.8865687875140332,0.7909626807652601,0.8417208310548117,0.8493434149716357,0.03809121716186852,9
19,0.2987984180450439,0.019904851507420624,0.0032022476196289064,0.0007472967450343716,8,10,,-1,,"{'max_depth': 8, 'min_samples_leaf': 10, 'n_jobs': -1}",0.832200841847885,0.8952639336761888,0.8865687875140332,0.7909626807652601,0.8417208310548117,0.8493434149716357,0.03809121716186852,9
18,0.2749993324279785,0.009736558119800905,0.003600025177001953,0.001623938699287313,8,7,,-1,,"{'max_depth': 8, 'min_samples_leaf': 7, 'n_jobs': -1}",0.832200841847885,0.8952639336761888,0.8865687875140332,0.7909626807652601,0.8417208310548117,0.8493434149716357,0.03809121716186852,9
17,0.26579937934875486,0.016411847099828698,0.0029999256134033204,0.000631429983070901,8,5,,-1,,"{'max_depth': 8, 'min_samples_leaf': 5, 'n_jobs': -1}",0.832200841847885,0.8952639336761888,0.8865687875140332,0.7909626807652601,0.8417208310548117,0.8493434149716357,0.03809121716186852,9
3,1.4379368782043458,0.02824419915022655,0.0033997535705566407,0.0004899598814474855,6,10,500,-1,,"{'max_depth': 6, 'min_samples_leaf': 10, 'n_estimators': 500, 'n_jobs': -1}",0.8414423276514762,0.925552127536484,0.8467111952835173,0.8216954807675596,0.8060577475777888,0.8482917757633652,0.041254457151878185,13
1,1.304736614227295,0.2588043441890212,0.002399635314941406,0.0011995794521291717,6,3,500,-1,,"{'max_depth': 6, 'min_samples_leaf': 3, 'n_estimators': 500, 'n_jobs': -1}",0.8414423276514762,0.925552127536484,0.8467111952835173,0.8216954807675596,0.8060577475777888,0.8482917757633652,0.041254457151878185,13
36,0.1379995822906494,0.008671522289830008,0.0019998073577880858,7.294205923451593e-07,,7,,-1,2,"{'min_samples_leaf': 7, 'min_samples_split': 2, 'n_jobs': -1}",0.8414198918985089,0.925553229400027,0.8466689092691579,0.8216331115188397,0.8060583268469126,0.8482666937866892,0.04126386831772641,15
33,0.14600005149841308,0.0031626216037920216,0.0019999980926513673,0.0006321087541117353,,5,,-1,3,"{'min_samples_leaf': 5, 'min_samples_split': 3, 'n_jobs': -1}",0.8414198918985089,0.925553229400027,0.8466689092691579,0.8216331115188397,0.8060583268469126,0.8482666937866892,0.04126386831772641,15
32,0.14880013465881348,0.01101079697494379,0.002000761032104492,0.0006334679692129528,,5,,-1,2,"{'min_samples_leaf': 5, 'min_samples_split': 2, 'n_jobs': -1}",0.8414198918985089,0.925553229400027,0.8466689092691579,0.8216331115188397,0.8060583268469126,0.8482666937866892,0.04126386831772641,15
35,0.15100011825561524,0.008075011318335368,0.001999568939208984,2.3360154559928684e-07,,5,,-1,10,"{'min_samples_leaf': 5, 'min_samples_split': 10, 'n_jobs': -1}",0.8414198918985089,0.925553229400027,0.8466689092691579,0.8216331115188397,0.8060583268469126,0.8482666937866892,0.04126386831772641,15
