ID,IC50_nM
TEST_000,6.9216967
TEST_001,7.0053697
TEST_002,6.884731
TEST_003,7.564169
TEST_004,7.5641594
TEST_005,6.9083986
TEST_006,6.878908
TEST_007,6.8772745
TEST_008,6.55305
TEST_009,7.1231647
TEST_010,7.1286287
TEST_011,6.588692
TEST_012,6.8903728
TEST_013,6.8719125
TEST_014,7.107162
TEST_015,7.1039586
TEST_016,7.003227
TEST_017,6.8719163
TEST_018,7.573045
TEST_019,6.8825226
TEST_020,6.884731
TEST_021,7.1071515
TEST_022,6.921593
TEST_023,6.884741
TEST_024,6.907848
TEST_025,6.8806458
TEST_026,6.8854113
TEST_027,7.8078294
TEST_028,7.0613956
TEST_029,6.880174
TEST_030,7.5734186
TEST_031,6.88074
TEST_032,6.8793015
TEST_033,6.3174157
TEST_034,7.10803
TEST_035,6.8837705
TEST_036,6.7772846
TEST_037,7.1080585
TEST_038,6.8798633
TEST_039,7.6575656
TEST_040,6.907857
TEST_041,6.8825173
TEST_042,6.9289794
TEST_043,6.884731
TEST_044,7.0918913
TEST_045,6.88334
TEST_046,7.875626
TEST_047,7.3991466
TEST_048,7.787023
TEST_049,6.8806844
TEST_050,8.031138
TEST_051,6.9078603
TEST_052,6.880634
TEST_053,6.884113
TEST_054,6.90786
TEST_055,6.876444
TEST_056,7.981875
TEST_057,6.8847756
TEST_058,7.110832
TEST_059,7.0924664
TEST_060,7.1242375
TEST_061,6.8804803
TEST_062,6.8801737
TEST_063,7.1018376
TEST_064,6.8763256
TEST_065,6.5874395
TEST_066,7.113485
TEST_067,7.102785
TEST_068,7.583135
TEST_069,7.101837
TEST_070,6.907857
TEST_071,6.974483
TEST_072,6.9077153
TEST_073,6.8868337
TEST_074,6.9713016
TEST_075,6.871918
TEST_076,7.5640516
TEST_077,6.8801837
TEST_078,6.9085097
TEST_079,7.0932035
TEST_080,6.880635
TEST_081,6.8830647
TEST_082,7.091339
TEST_083,6.9077153
TEST_084,7.1039586
TEST_085,6.8832383
TEST_086,6.8834214
TEST_087,7.0932
TEST_088,7.411028
TEST_089,7.1080546
TEST_090,7.113152
TEST_091,6.8762946
TEST_092,6.8790483
TEST_093,6.541138
TEST_094,7.4156566
TEST_095,7.124326
TEST_096,6.8763256
TEST_097,6.541055
TEST_098,7.981814
TEST_099,7.092214
TEST_100,7.5734186
TEST_101,7.6575656
TEST_102,7.9818096
TEST_103,7.092595
TEST_104,7.5646777
TEST_105,7.124238
TEST_106,7.108077
TEST_107,6.871918
TEST_108,6.9013257
TEST_109,7.1241837
TEST_110,6.884731
TEST_111,6.882518
TEST_112,6.8806334
