ID,IC50_nM
TEST_000,7.096259
TEST_001,7.1159616
TEST_002,7.096488
TEST_003,7.0882263
TEST_004,7.0882263
TEST_005,7.096464
TEST_006,7.0964613
TEST_007,7.096462
TEST_008,7.096038
TEST_009,8.120617
TEST_010,8.120617
TEST_011,7.0895014
TEST_012,7.0964875
TEST_013,7.09626
TEST_014,7.048172
TEST_015,7.048172
TEST_016,7.1159573
TEST_017,7.096257
TEST_018,7.088252
TEST_019,7.09626
TEST_020,7.096488
TEST_021,7.048172
TEST_022,7.096486
TEST_023,7.096464
TEST_024,7.096488
TEST_025,7.0964384
TEST_026,7.096464
TEST_027,7.039934
TEST_028,7.0637927
TEST_029,7.0964622
TEST_030,7.0882287
TEST_031,7.0964622
TEST_032,7.0961766
TEST_033,7.093734
TEST_034,7.0480614
TEST_035,7.096488
TEST_036,7.096492
TEST_037,7.048172
TEST_038,7.0964622
TEST_039,7.088153
TEST_040,7.096488
TEST_041,7.09624
TEST_042,7.0964108
TEST_043,7.096488
TEST_044,7.0481715
TEST_045,7.096488
TEST_046,8.1205
TEST_047,8.120449
TEST_048,8.120502
TEST_049,7.0964613
TEST_050,8.120626
TEST_051,7.096488
TEST_052,7.0964622
TEST_053,7.096464
TEST_054,7.096488
TEST_055,7.0964613
TEST_056,8.120412
TEST_057,7.096423
TEST_058,7.043268
TEST_059,7.048171
TEST_060,8.120619
TEST_061,7.0964622
TEST_062,7.0964622
TEST_063,7.048172
TEST_064,7.0964856
TEST_065,7.0960197
TEST_066,7.0480595
TEST_067,7.048171
TEST_068,7.088252
TEST_069,7.048172
TEST_070,7.096488
TEST_071,7.0962076
TEST_072,7.096464
TEST_073,7.096488
TEST_074,7.096429
TEST_075,7.09626
TEST_076,7.0882263
TEST_077,7.0964384
TEST_078,7.096488
TEST_079,7.048172
TEST_080,7.0964622
TEST_081,7.096488
TEST_082,7.0481715
TEST_083,7.096464
TEST_084,7.048172
TEST_085,7.09626
TEST_086,7.096488
TEST_087,7.0481715
TEST_088,8.120619
TEST_089,7.048172
TEST_090,7.048173
TEST_091,7.0964856
TEST_092,7.0963316
TEST_093,7.0960374
TEST_094,7.034893
TEST_095,8.120619
TEST_096,7.0964856
TEST_097,7.0960374
TEST_098,8.120411
TEST_099,7.0481224
TEST_100,7.0882287
TEST_101,7.088154
TEST_102,8.120411
TEST_103,7.0481234
TEST_104,7.0882196
TEST_105,8.120619
TEST_106,7.048172
TEST_107,7.09626
TEST_108,7.09626
TEST_109,8.120619
TEST_110,7.096488
TEST_111,7.09624
TEST_112,7.0964622
